status,layer,multi_layer,partial_layer,lb,ub,norms,mask_fn,threshold,edit_acc,test_acc
success,2,True,False,-1.0,100.0,l1n linf,gt,0,1.0,0.9231
success,1,True,False,-1.0,10.0,l1n linf,lt,-5,1.0,0.9231
success,2,True,True,-10.0,1.0,l1n linf,lt,-5,1.0,0.9231
success,1,True,False,-10.0,1.0,l1n linf,gt,5,1.0,0.9231
success,2,True,False,-100.0,100.0,l1n linf,lt,0,1.0,0.9231
success,1,True,True,-10.0,100.0,l1n linf,gt,5,1.0,0.9231
success,2,True,False,-100.0,10.0,l1n linf,gt,5,1.0,0.9231
success,1,True,True,-1.0,10.0,l1 l1n linf,gt,5,1.0,0.9227
success,1,True,True,-1.0,10.0,l1 linf,gt,5,1.0,0.9227
success,1,True,False,-1.0,10.0,l1 linf,gt,0,1.0,0.9227
success,1,True,True,-1.0,10.0,l1 l1n linf,gt,0,1.0,0.9227
success,2,True,False,-1.0,100.0,l1 l1n linf,gt,5,1.0,0.9225
success,1,True,False,-1.0,100.0,l1 l1n linf,gt,5,1.0,0.9225
success,1,True,True,-1.0,1.0,l1 l1n,lt,0,1.0,0.9178
success,2,True,True,-1.0,1.0,l1 l1n linf,gt,5,1.0,0.9178
success,2,True,True,-1.0,1.0,l1 l1n,lt,-5,1.0,0.9178
